gdc-xena	gdc-recount	gdc-mskcc	gdc-piccolo	xena-recount	xena-piccolo	xena-mskcc	recount-piccolo	recount-mskcc	mskcc-piccolo
STX16-NPEPL1	0	4020	0	0	4018	4	0	4020	4020	4
NPEPL1	582	8	409	53	1	1762	0	881	1	1599
GNAS	54	0	2	0	180	12	0	0	52	0
ATP5E	0	0	0	6	0	583	0	5	0	618
TAF4	2	0	0	83	2	88	2	86	0	94
SRMS	369	0	369	0	121	75	0	0	122	75
RTEL1	92	496	90	0	1	92	4	496	1	90
TNFRSF6B	713	1624	727	74	159	686	3	1624	127	698
ZGPAT	39	1418	48	1655	10	11	1	0	0	1
LIME1	643	1068	691	1354	6	17	4	1	1	3
ABHD16B	0	167	5	45	167	45	5	0	4	0
TCEA2	0	0	0	0	1	62	2	0	0	55
MRAP	0	51	0	0	50	0	0	75	50	0
C21orf59	0	2	0	55	0	3	0	0	0	0
DONSON	5	133	0	0	232	5	5	213	268	0
ATP5O	25	0	19	4782	0	6	0	0	0	0
SLC5A3	18	0	197	0	20	16	19	0	226	10
CBR3	5	0	0	0	75	3	0	0	48	0
PIGP	774	0	733	0	1083	2	1	5	1038	0
CBS	895	581	1281	1798	31	324	158	0	0	1
U2AF1	3519	45	4795	4793	2496	1096	1103	4792	4794	0
CRYAA	37	45	76	84	1	5	2	0	0	0
SIK1	12	2058	1597	2957	1369	2246	1110	0	0	0
PDXK	16	0	36	0	51	18	0	0	79	36
CSTB	16	0	3	0	14	689	4	1	1	813
PWP2	68	41	389	2155	7	1219	151	0	0	0
C21orf33	1491	4424	4736	4795	2295	3417	2943	0	0	0
ICOSLG	14	44	113	358	0	102	8	0	0	0
SLC19A1	69	2064	157	0	1691	41	53	1252	1345	82
DGCR6	1062	207	1170	2237	3	7	0	7	2	1
PRODH	641	1	956	1469	3	5	2	1115	11	2
C22orf39	0	350	0	0	32	0	0	139	35	0
SEPT5	0	0	0	609	1	1038	1	834	0	1055
GP1BB	0	673	1	0	673	0	0	673	661	1
RANBP1	2	0	0	0	116	0	0	1	160	0
YPEL1	0	118	0	0	234	0	0	5	204	0
TOP3B	84	40	104	74	2	0	1	0	0	0
VPREB1	0	3	0	74	3	74	0	67	3	74
GGTLC2	1	883	1	140	882	139	0	343	881	138
IGLL5	6	3731	2	3688	3707	3654	2	1	3733	3689
IGLL1	19	227	19	1342	264	1343	0	1166	264	1343
MIF	1824	4655	1598	4725	19	4792	16	4796	1	4793
GSTT2B	1	1	1	219	1	442	84	747	616	53
DDTL	0	4738	0	78	4734	231	0	4720	4740	230
DDT	38	15	36	391	0	4725	6	1945	0	4737
ADORA2A	114	237	106	243	1	0	0	0	1	0
CCDC117	116	2788	99	1416	3	1	2	0	0	0
XBP1	4789	4799	4787	4800	0	1	0	1	0	1
ZNRF3	50	611	53	233	1	0	0	0	0	0
KREMEN1	643	1554	635	970	2	0	0	0	0	0
MTMR3	317	1952	266	674	0	1	2	0	0	0
MTFP1	3	825	3	127	11	11	8	0	0	0
TIMP3	3984	4602	3981	4340	5	4	6	0	3	1
ELFN2	64	0	0	0	64	25	1	0	0	0
SH3BP1	2	85	0	0	94	4	0	64	88	1
PDXP	228	1565	286	807	369	98	0	0	25	0
NOL12	556	7	428	0	2	1	2	0	0	0
TRIOBP	2403	15	2277	1	0	1	0	0	0	0
EIF3L	216	3	295	2	0	0	0	0	0	0
C22orf23	11	15	0	31	301	358	0	0	258	339
POLR2F	4763	549	4781	3800	4730	3	12	0	4759	0
SOX10	145	198	145	173	0	0	0	0	0	0
CBX6	2	0	1	55	1	1	1	46	0	0
APOBEC3A	0	128	0	0	157	0	0	143	155	0
POLR3H	0	391	0	0	450	0	0	702	317	0
CSDC2	1	28	1	0	69	1	0	34	69	1
TNFRSF13C	0	0	51	0	0	0	0	0	44	0
RRP7A	9	4	0	0	41	0	3	29	21	0
ARHGAP8	1044	2183	1025	2	3	1085	1	2198	2	1065
HDAC10	155	159	82	917	2	4	2	0	0	0
SCO2	9	50	1	4306	133	3587	6	4756	115	3616
ODF3B	7	71	1	14	43	24	7	16	38	13
CPT1B	646	1172	701	1	8	650	7	1175	1	703
CHKB-CPT1B	8	2792	3	0	2762	12	0	2792	2782	9
CHKB	2716	2868	2806	3	1	2741	2	2871	0	2822
PLCXD1	0	0	9	445	0	59	0	393	4	0
GTPBP6	4546	1	257	4506	4465	46	579	4389	90	0
CSF2RA	238	0	0	227	211	1	19	194	0	0
IL3RA	1367	1	1367	1367	1000	0	6	999	999	0
SLC25A6	25	0	4778	4792	24	843	2	4790	4684	1
ASMTL	7	0	27	3199	6	920	0	3091	25	0
P2RY8	1	0	409	409	0	5	0	361	361	0
AKAP17A	6	1	3270	3604	3	867	4	3423	2104	4
DHRSX	2369	0	1	2361	2152	2	89	2144	1	3
ZBED1	10	1	4495	4575	6	1014	0	4530	4394	0
CD99	0	0	1	30	0	159	5	26	0	2
SMS	2	0	0	811	0	0	0	12	0	0
PDK3	6	0	0	52	5	2	2	39	0	0
ATP6AP2	0	705	0	0	3	0	0	0	1	0
SLC9A7	2	0	110	29	1	1	1	17	82	0
GAGE10	28	168	0	11	167	10	28	166	168	11
GAGE1	130	155	58	0	33	132	66	155	85	61
GSPT2	2	0	0	153	1	456	0	157	1	465
MAGED4B	717	437	799	0	0	717	0	437	0	799
MAGED4	220	469	196	0	29	220	0	469	0	196
FAM156B	143	357	165	0	4	143	1	357	1	165
FAM156A	144	87	73	0	10	143	13	87	1	73
PAGE2B	0	55	0	24	50	21	0	1	50	21
NHSL2	1	131	0	0	92	1	1	169	249	0
PIN4	0	32	0	2	16	839	0	257	15	754
COX7B	0	0	0	4	0	21	0	524	0	9
PGAM4	0	4431	0	0	4431	0	0	4431	4431	0
APOOL	4	0	203	0	4	4	7	1	179	0
RPL36A	4800	1745	4800	4526	4800	4800	2	618	4800	4800
HNRNPH2	3	0	2	4799	20	4715	0	4800	18	4715
GPRASP2	0	0	0	694	0	17	0	664	0	22
BEX1	0	3	0	0	55	0	0	11	56	0
TMSB15B	130	0	109	261	129	0	0	261	108	0
ALG13	50	0	2	0	101	490	6	0	20	216
RPL39	4800	28	4800	19	4800	4735	0	28	4800	4737
NKAP	0	0	0	0	0	341	0	1	0	1
MCTS1	0	0	0	4173	0	4565	0	3459	0	4570
GLUD2	0	4328	0	4562	4379	4600	0	1	4380	4600
CT45A1	0	40	8	0	11	18	7	73	15	45
CT45A3	85	153	158	1	42	84	32	153	7	158
CT45A5	65	83	111	76	0	8	47	1	51	4
FGF13	243	0	344	2	300	1	0	25	370	1
SPANXB1	3	8	25	77	19	47	1	87	36	30
IDS	3686	0	1	0	4144	4130	3438	0	0	0
MAGEA9	53	379	255	1	254	73	190	379	1	275
MAGEA2B	75	266	146	0	20	75	0	266	0	146
MAGEA2	163	291	179	0	2	163	1	291	0	179
PNMA6A	3	3	249	277	0	167	150	481	436	13
TREX2	0	1035	0	0	1050	1	0	1014	1053	0
HAUS7	1153	490	1267	986	0	4	2	1	0	1
SRPK3	0	103	0	0	112	0	0	90	114	0
SSR4	58	0	41	0	120	7	11	1	93	0
ARHGAP4	7	168	1	0	197	7	5	154	167	1
NAA10	567	0	767	1243	0	5	1	4	0	0
RPL10	3342	1	2662	0	4786	4790	1	0	4800	4799
IKBKG	89	320	501	0	3	0	0	84	3	7
CTAG1A	142	190	145	0	31	142	3	190	18	145
CTAG1B	98	202	122	0	92	98	16	202	49	122
F8A1	15	171	2	1028	87	2710	14	4217	96	2617
FUNDC2	4605	0	4684	0	4762	0	1	0	4785	1
MTCP1	926	771	644	1	1	1026	0	951	1	759
F8A2	0	688	32	0	688	0	32	688	519	32
F8A3	452	1861	185	0	593	452	12	1861	627	185
VAMP7	4755	0	4720	4755	4744	0	156	4744	4619	39
